scholarship_name,max_income,gender,education_level,scholarship_amount,category,min_marks,disability,state
UGC Scholarship 122,960143.0,male,pg,0.0,obc,84.0,yes,any
Merit Scholarship 123,519387.0,male,commerce,0.0,any,81.0,no,any
ONGC Scholarship 124,603109.0,any,pg,0.0,sc,86.0,yes,any
Overseas Scholarship 125,444405.0,female,pg,0.0,any,84.0,yes,any
Disability Fellowship 126,559756.0,male,pg,0.0,sc,65.0,no,any
Sports Scholarship 127,819592.0,male,ug,0.0,minority,59.0,no,any
Ambedkar Scholarship 128,190618.0,any,engineering,0.0,any,53.0,yes,any
Ambedkar Scholarship 129,133266.0,female,engineering,0.0,obc,63.0,yes,any
Merit Scholarship 130,844627.0,any,arts,0.0,minority,93.0,yes,any
Minority Scholarship 131,411657.0,any,any,0.0,minority,95.0,yes,any
Overseas Scholarship 132,611349.0,male,commerce,0.0,any,56.0,yes,any
UGC Scholarship 133,984424.0,female,ug,0.0,any,61.0,no,any
Pragati Scholarship 134,151513.0,female,pg,0.0,minority,87.0,yes,any
Sports Scholarship 135,865605.0,female,arts,0.0,sc,61.0,no,any
INSPIRE Scholarship 136,122762.0,any,ug,0.0,sc,51.0,no,any
INSPIRE Scholarship 137,114316.0,female,pg,0.0,any,92.0,yes,any
Disability Fellowship 138,352965.0,any,any,0.0,minority,93.0,no,any
INSPIRE Scholarship 139,407568.0,male,ug,0.0,sc,67.0,no,any
Disability Fellowship 140,138436.0,female,engineering,0.0,st,56.0,yes,any
INSPIRE Scholarship 141,986845.0,female,arts,0.0,any,63.0,yes,any
Ambedkar Scholarship 142,754891.0,any,arts,0.0,sc,69.0,yes,any
Pragati Scholarship 143,796908.0,female,ug,0.0,any,84.0,yes,any
Sports Scholarship 144,177199.0,female,engineering,0.0,any,92.0,yes,any
Merit Scholarship 145,418092.0,female,any,0.0,obc,68.0,yes,any
Sports Scholarship 146,231531.0,male,pg,0.0,any,50.0,yes,any
Sports Scholarship 147,281432.0,any,engineering,0.0,st,58.0,no,any
Minority Scholarship 148,951480.0,any,arts,0.0,any,95.0,no,any
INSPIRE Scholarship 149,250020.0,any,engineering,0.0,any,62.0,yes,any
INSPIRE Scholarship 150,672602.0,male,pg,0.0,obc,71.0,yes,any
Merit Scholarship 151,971050.0,any,science,0.0,st,87.0,no,any
INSPIRE Scholarship 152,418515.0,female,pg,0.0,sc,80.0,yes,any
Pragati Scholarship 153,755673.0,any,science,0.0,st,58.0,yes,any
Minority Scholarship 154,137624.0,female,pg,0.0,st,66.0,yes,any
ONGC Scholarship 155,673716.0,any,arts,0.0,any,62.0,no,any
INSPIRE Scholarship 156,326375.0,male,ug,0.0,any,69.0,no,any
UGC Scholarship 157,390677.0,female,ug,0.0,any,83.0,no,any
UGC Scholarship 158,505489.0,male,ug,0.0,st,58.0,no,any
INSPIRE Scholarship 159,130804.0,male,arts,0.0,st,76.0,no,any
ONGC Scholarship 160,173073.0,any,pg,0.0,any,69.0,no,any
INSPIRE Scholarship 161,682934.0,any,any,0.0,any,65.0,yes,any
Minority Scholarship 162,877557.0,female,science,0.0,obc,63.0,yes,any
Pragati Scholarship 163,546535.0,male,pg,0.0,sc,58.0,no,any
Disability Fellowship 164,267203.0,female,pg,0.0,any,61.0,no,any
Disability Fellowship 165,443095.0,female,pg,0.0,any,55.0,yes,any
INSPIRE Scholarship 166,374106.0,male,pg,0.0,st,77.0,no,any
Pragati Scholarship 167,565092.0,male,engineering,0.0,sc,78.0,yes,any
Minority Scholarship 168,253494.0,female,ug,0.0,sc,85.0,no,any
ONGC Scholarship 169,231960.0,male,engineering,0.0,any,81.0,no,any
Sports Scholarship 170,118365.0,any,science,0.0,obc,85.0,yes,any
Merit Scholarship 171,554960.0,male,any,0.0,minority,77.0,yes,any
INSPIRE Scholarship 172,608344.0,male,commerce,0.0,any,89.0,no,any
INSPIRE Scholarship 173,500130.0,any,any,0.0,st,57.0,yes,any
Overseas Scholarship 174,835356.0,any,ug,0.0,any,67.0,no,any
Sports Scholarship 175,667609.0,any,ug,0.0,minority,94.0,yes,any
Pragati Scholarship 176,321015.0,male,science,0.0,any,84.0,yes,any
INSPIRE Scholarship 177,809938.0,female,commerce,0.0,obc,85.0,no,any
Disability Fellowship 178,731645.0,any,engineering,0.0,any,51.0,no,any
ONGC Scholarship 179,946681.0,female,pg,0.0,obc,59.0,no,any
Minority Scholarship 180,118421.0,male,science,0.0,any,51.0,yes,any
Disability Fellowship 181,232795.0,male,any,0.0,any,53.0,yes,any
Pragati Scholarship 182,112848.0,any,commerce,0.0,obc,53.0,no,any
ONGC Scholarship 183,121136.0,male,pg,0.0,minority,59.0,yes,any
Disability Fellowship 184,923929.0,any,pg,0.0,obc,57.0,no,any
UGC Scholarship 185,237400.0,male,engineering,0.0,minority,89.0,no,any
INSPIRE Scholarship 186,494242.0,any,commerce,0.0,obc,92.0,no,any
ONGC Scholarship 187,398129.0,male,any,0.0,sc,79.0,yes,any
Disability Fellowship 188,584998.0,male,arts,0.0,obc,65.0,no,any
Pragati Scholarship 189,792337.0,male,any,0.0,st,81.0,no,any
Sports Scholarship 190,857318.0,any,pg,0.0,any,95.0,no,any
Sports Scholarship 191,998356.0,female,any,0.0,obc,54.0,no,any
Merit Scholarship 192,181165.0,female,pg,0.0,sc,88.0,yes,any
Disability Fellowship 193,970776.0,male,ug,0.0,obc,79.0,yes,any
UGC Scholarship 194,569666.0,female,any,0.0,any,72.0,no,any
Overseas Scholarship 195,437970.0,male,science,0.0,any,61.0,yes,any
Minority Scholarship 196,274643.0,any,commerce,0.0,any,58.0,yes,any
Minority Scholarship 197,971840.0,any,engineering,0.0,sc,63.0,no,any
Sports Scholarship 198,424676.0,any,commerce,0.0,any,70.0,no,any
Disability Fellowship 199,821123.0,male,arts,0.0,sc,84.0,no,any
Merit Scholarship 200,928141.0,any,engineering,0.0,obc,80.0,yes,any
Ambedkar Scholarship 201,876312.0,any,engineering,0.0,sc,62.0,no,any
ONGC Scholarship 202,879173.0,female,science,0.0,minority,59.0,yes,any
Sports Scholarship 203,969143.0,male,ug,0.0,st,65.0,yes,any
UGC Scholarship 204,407690.0,female,pg,0.0,any,63.0,yes,any
Pragati Scholarship 205,717082.0,any,engineering,0.0,minority,78.0,yes,any
Sports Scholarship 206,611038.0,male,commerce,0.0,any,70.0,no,any
Minority Scholarship 207,456262.0,female,arts,0.0,any,66.0,yes,any
UGC Scholarship 208,243431.0,male,pg,0.0,minority,76.0,no,any
Merit Scholarship 209,712737.0,female,any,0.0,any,50.0,no,any
Ambedkar Scholarship 210,719965.0,female,ug,0.0,any,56.0,no,any
UGC Scholarship 211,296875.0,female,pg,0.0,minority,51.0,no,any
Minority Scholarship 212,160082.0,any,ug,0.0,sc,78.0,no,any
Ambedkar Scholarship 213,464807.0,male,science,0.0,any,64.0,no,any
ONGC Scholarship 214,912451.0,any,ug,0.0,sc,87.0,no,any
UGC Scholarship 215,628768.0,any,pg,0.0,st,57.0,no,any
Merit Scholarship 216,836527.0,any,arts,0.0,minority,74.0,no,any
Disability Fellowship 217,262956.0,female,commerce,0.0,sc,52.0,yes,any
Overseas Scholarship 218,208748.0,any,science,0.0,minority,78.0,yes,any
Sports Scholarship 219,709091.0,male,arts,0.0,any,78.0,yes,any
Pragati Scholarship 220,235437.0,any,ug,0.0,any,92.0,yes,any
UGC Scholarship 221,179365.0,male,commerce,0.0,obc,92.0,yes,any
Sports Scholarship 222,741557.0,female,pg,0.0,any,56.0,no,any
Merit Scholarship 223,951293.0,any,pg,0.0,any,75.0,no,any
Minority Scholarship 224,539100.0,female,commerce,0.0,any,85.0,no,any
Minority Scholarship 225,582426.0,any,pg,0.0,sc,89.0,yes,any
Disability Fellowship 226,120274.0,any,arts,0.0,minority,86.0,yes,any
Sports Scholarship 227,476679.0,any,ug,0.0,obc,93.0,no,any
INSPIRE Scholarship 228,378018.0,any,commerce,0.0,minority,55.0,yes,any
Disability Fellowship 229,919017.0,female,engineering,0.0,minority,74.0,yes,any
Merit Scholarship 230,365719.0,any,commerce,0.0,any,52.0,no,any
Disability Fellowship 231,642558.0,any,engineering,0.0,sc,90.0,no,any
Pragati Scholarship 232,241007.0,female,pg,0.0,obc,80.0,yes,any
Ambedkar Scholarship 233,696790.0,any,any,0.0,any,50.0,yes,any
Overseas Scholarship 234,662503.0,female,pg,0.0,obc,68.0,yes,any
Overseas Scholarship 235,958475.0,female,commerce,0.0,obc,79.0,yes,any
Overseas Scholarship 236,750362.0,any,science,0.0,minority,67.0,no,any
Minority Scholarship 237,931182.0,any,ug,0.0,minority,74.0,yes,any
Merit Scholarship 238,220688.0,female,commerce,0.0,any,56.0,yes,any
Ambedkar Scholarship 239,876142.0,female,arts,0.0,obc,56.0,no,any
Merit Scholarship 240,866130.0,female,pg,0.0,obc,87.0,no,any
Minority Scholarship 241,821770.0,any,pg,0.0,obc,72.0,yes,any
Ambedkar Scholarship 242,722379.0,male,science,0.0,st,54.0,yes,any
UGC Scholarship 243,932914.0,female,engineering,0.0,minority,80.0,no,any
ONGC Scholarship 244,725476.0,male,commerce,0.0,minority,50.0,yes,any
INSPIRE Scholarship 245,830201.0,female,engineering,0.0,obc,86.0,no,any
Sports Scholarship 246,922984.0,any,any,0.0,any,87.0,yes,any
Pragati Scholarship 247,901405.0,any,arts,0.0,obc,58.0,no,any
ONGC Scholarship 248,589419.0,female,engineering,0.0,any,55.0,no,any
ONGC Scholarship 249,569172.0,female,science,0.0,obc,89.0,yes,any
UGC Scholarship 250,484749.0,any,commerce,0.0,any,68.0,no,any
ONGC Scholarship 251,372636.0,female,commerce,0.0,st,92.0,no,any
Merit Scholarship 252,580155.0,male,any,0.0,any,52.0,no,any
Minority Scholarship 253,645774.0,female,commerce,0.0,minority,63.0,no,any
Sports Scholarship 254,782714.0,any,science,0.0,any,64.0,no,any
UGC Scholarship 255,832817.0,female,science,0.0,sc,87.0,no,any
INSPIRE Scholarship 256,336683.0,male,ug,0.0,any,62.0,yes,any
Minority Scholarship 257,755918.0,male,ug,0.0,any,59.0,no,any
Ambedkar Scholarship 258,941931.0,male,any,0.0,minority,58.0,yes,any
Merit Scholarship 259,590831.0,any,ug,0.0,obc,83.0,no,any
Overseas Scholarship 260,174638.0,male,engineering,0.0,any,61.0,no,any
Pragati Scholarship 261,412864.0,female,engineering,0.0,any,64.0,yes,any
Pragati Scholarship 262,395859.0,male,science,0.0,any,51.0,no,any
Overseas Scholarship 263,426357.0,any,engineering,0.0,any,89.0,yes,any
UGC Scholarship 264,463700.0,male,engineering,0.0,st,57.0,yes,any
Pragati Scholarship 265,437267.0,male,science,0.0,any,71.0,no,any
Ambedkar Scholarship 266,115117.0,any,engineering,0.0,obc,95.0,yes,any
Overseas Scholarship 267,834467.0,any,ug,0.0,obc,58.0,yes,any
Pragati Scholarship 268,419741.0,female,commerce,0.0,any,51.0,no,any
ONGC Scholarship 269,619055.0,male,pg,0.0,sc,60.0,no,any
Pragati Scholarship 270,771854.0,any,ug,0.0,minority,56.0,no,any
Ambedkar Scholarship 271,428277.0,male,arts,0.0,any,66.0,no,any
Sports Scholarship 272,945649.0,any,any,0.0,any,94.0,no,any
Sports Scholarship 273,588022.0,female,ug,0.0,any,72.0,no,any
Overseas Scholarship 274,990423.0,any,science,0.0,obc,56.0,yes,any
Pragati Scholarship 275,747338.0,male,ug,0.0,minority,74.0,yes,any
INSPIRE Scholarship 276,715914.0,any,ug,0.0,sc,90.0,yes,any
Sports Scholarship 277,735053.0,male,engineering,0.0,sc,94.0,no,any
Minority Scholarship 278,964049.0,female,engineering,0.0,any,93.0,yes,any
Minority Scholarship 279,693954.0,male,engineering,0.0,minority,91.0,no,any
Overseas Scholarship 280,872232.0,female,commerce,0.0,any,94.0,no,any
UGC Scholarship 281,438316.0,female,science,0.0,obc,91.0,yes,any
Pragati Scholarship 282,685923.0,female,commerce,0.0,st,73.0,yes,any
Disability Fellowship 283,882650.0,female,engineering,0.0,any,77.0,no,any
Overseas Scholarship 284,122708.0,male,any,0.0,obc,69.0,no,any
Minority Scholarship 285,885408.0,any,arts,0.0,any,91.0,yes,any
Merit Scholarship 286,195329.0,any,commerce,0.0,any,77.0,yes,any
UGC Scholarship 287,601944.0,female,engineering,0.0,any,53.0,no,any
Minority Scholarship 288,877631.0,female,ug,0.0,minority,94.0,yes,any
Pragati Scholarship 289,492866.0,male,ug,0.0,sc,91.0,yes,any
Sports Scholarship 290,456706.0,any,commerce,0.0,obc,82.0,no,any
Disability Fellowship 291,249043.0,male,science,0.0,minority,54.0,yes,any
Overseas Scholarship 292,328198.0,any,pg,0.0,any,65.0,no,any
Minority Scholarship 293,753246.0,any,any,0.0,obc,77.0,no,any
Sports Scholarship 294,564542.0,male,science,0.0,sc,94.0,yes,any
Sports Scholarship 295,191019.0,male,any,0.0,st,77.0,no,any
ONGC Scholarship 296,278490.0,female,science,0.0,any,89.0,yes,any
UGC Scholarship 297,472373.0,any,ug,0.0,any,76.0,yes,any
Overseas Scholarship 298,807765.0,female,ug,0.0,obc,65.0,no,any
UGC Scholarship 299,300701.0,female,science,0.0,sc,66.0,no,any
Ambedkar Scholarship 300,371446.0,female,commerce,0.0,any,76.0,yes,any
Pragati Scholarship 301,305555.0,any,arts,0.0,any,55.0,no,any
UGC Scholarship 302,520725.0,any,arts,0.0,obc,71.0,no,any
Disability Fellowship 303,832944.0,female,pg,0.0,obc,87.0,no,any
INSPIRE Scholarship 304,907091.0,male,science,0.0,any,84.0,no,any
Sports Scholarship 305,683922.0,any,science,0.0,sc,83.0,yes,any
Overseas Scholarship 306,297641.0,any,science,0.0,minority,65.0,yes,any
Sports Scholarship 307,394170.0,any,arts,0.0,st,57.0,yes,any
INSPIRE Scholarship 308,471529.0,male,ug,0.0,st,54.0,yes,any
INSPIRE Scholarship 309,998932.0,male,commerce,0.0,sc,88.0,no,any
Merit Scholarship 310,826339.0,female,engineering,0.0,any,58.0,yes,any
INSPIRE Scholarship 311,298240.0,any,ug,0.0,any,70.0,yes,any
Minority Scholarship 312,885267.0,any,pg,0.0,any,51.0,no,any
Disability Fellowship 313,225353.0,male,commerce,0.0,sc,64.0,no,any
ONGC Scholarship 314,483168.0,female,arts,0.0,any,93.0,yes,any
INSPIRE Scholarship 315,342437.0,male,any,0.0,sc,76.0,yes,any
Disability Fellowship 316,722720.0,male,commerce,0.0,sc,52.0,yes,any
Merit Scholarship 317,417075.0,male,pg,0.0,minority,69.0,no,any
ONGC Scholarship 318,102093.0,female,commerce,0.0,minority,85.0,yes,any
Overseas Scholarship 319,453470.0,female,pg,0.0,obc,72.0,no,any
Ambedkar Scholarship 320,736593.0,any,commerce,0.0,minority,81.0,yes,any
ONGC Scholarship 321,339677.0,male,pg,0.0,any,67.0,yes,any
Overseas Scholarship 322,957713.0,male,commerce,0.0,sc,87.0,no,any
Overseas Scholarship 323,394311.0,female,commerce,0.0,sc,57.0,yes,any
Disability Fellowship 324,685193.0,female,commerce,0.0,minority,64.0,no,any
UGC Scholarship 325,899816.0,male,science,0.0,obc,74.0,yes,any
Ambedkar Scholarship 326,149403.0,male,engineering,0.0,any,64.0,no,any
Pragati Scholarship 327,919193.0,female,commerce,0.0,any,61.0,yes,any
Sports Scholarship 328,757788.0,male,science,0.0,any,72.0,no,any
Sports Scholarship 329,401328.0,male,commerce,0.0,any,89.0,yes,any
Merit Scholarship 330,635685.0,any,pg,0.0,st,57.0,yes,any
UGC Scholarship 331,911879.0,male,science,0.0,obc,51.0,yes,any
Sports Scholarship 332,834682.0,female,ug,0.0,st,81.0,no,any
ONGC Scholarship 333,582729.0,any,engineering,0.0,any,63.0,no,any
Pragati Scholarship 334,730513.0,male,engineering,0.0,obc,56.0,yes,any
Disability Fellowship 335,493754.0,female,pg,0.0,obc,51.0,no,any
Disability Fellowship 336,815866.0,male,science,0.0,obc,64.0,yes,any
Overseas Scholarship 337,416622.0,any,commerce,0.0,st,57.0,no,any
Sports Scholarship 338,494562.0,female,commerce,0.0,any,53.0,no,any
ONGC Scholarship 339,719624.0,female,engineering,0.0,any,93.0,no,any
ONGC Scholarship 340,929673.0,female,pg,0.0,minority,77.0,yes,any
INSPIRE Scholarship 341,327581.0,male,pg,0.0,obc,77.0,yes,any
Merit Scholarship 342,875431.0,any,arts,0.0,any,94.0,yes,any
ONGC Scholarship 343,735587.0,male,arts,0.0,st,72.0,yes,any
Overseas Scholarship 344,477116.0,male,engineering,0.0,sc,51.0,no,any
Merit Scholarship 345,192419.0,female,pg,0.0,any,56.0,yes,any
Minority Scholarship 346,605615.0,female,science,0.0,any,92.0,no,any
INSPIRE Scholarship 347,597913.0,male,any,0.0,minority,53.0,no,any
Pragati Scholarship 348,397115.0,male,any,0.0,minority,51.0,yes,any
Disability Fellowship 349,426551.0,any,commerce,0.0,minority,52.0,no,any
